540.381,202.246,42.4
537.684,198.596,42.4
43.466,117.483,42.4
46.106,116.074,42.4
47.909,115.132,42.4
49.676,114.225,42.4
51.539,113.284,42.4
53.37,112.375,42.4
55.212,111.477,42.4
57.064,110.591,42.4
58.925,109.717,42.4
61.788,108.405,42.4
63.674,107.561,42.4
65.571,106.73,42.4
67.478,105.911,42.4
69.393,105.106,42.4
72.227,103.945,42.4
74.168,103.169,42.4
77.155,102.01,42.4
79.119,101.269,42.4
81.092,100.544,42.4
83.075,99.832,42.4
85.066,99.135,42.4
88.004,98.141,42.4
90.018,97.482,42.4
93.123,96.502,42.4
95.16,95.883,42.4
97.205,95.281,42.4
99.258,94.696,42.4
101.321,94.127,42.4
103.392,93.575,42.4
106.435,92.799,42.4
108.525,92.289,42.4
110.624,91.796,42.4
112.729,91.322,42.4
113.866,91.074,42.4
115.985,90.629,42.4
118.11,90.201,42.4
120.243,89.794,42.4
122.383,89.406,42.4
124.531,89.037,42.4
126.683,88.688,42.4
128.843,88.36,42.4
131.009,88.052,42.4
133.181,87.764,42.4
135.359,87.497,42.4
137.543,87.252,42.4
139.732,87.027,42.4
142.928,86.738,42.4
144.127,86.641,42.4
146.33,86.481,42.4
149.543,86.287,42.4
151.757,86.18,42.4
152.966,86.131,42.4
155.187,86.058,42.4
158.42,85.992,42.4
160.632,85.973,42.4
162.878,85.977,42.4
165.114,86.004,42.4
168.572,86.092,42.4
170.811,86.174,42.4
174.059,86.333,42.4
176.3,86.47,42.4
178.544,86.629,42.4
182.021,86.918,42.4
183.662,87.073,42.4
186.508,87.37,42.4
189.756,87.75,42.4
191.997,88.039,42.4
194.239,88.349,42.4
196.479,88.68,42.4
198.718,89.032,42.4
200.955,89.404,42.4
202.198,89.619,42.4
205.412,90.206,42.4
207.658,90.641,42.4
208.899,90.89,42.4
212.117,91.565,42.4
214.344,92.056,42.4
216.566,92.566,42.4
218.787,93.095,42.4
221.004,93.643,42.4
223.219,94.208,42.4
225.436,94.794,42.4
228.874,95.735,42.4
229.851,96.011,42.4
233.28,97.005,42.4
234.251,97.294,42.4
237.671,98.338,42.4
238.64,98.641,42.4
243.014,100.05,42.4
247.375,101.519,42.4
251.705,103.037,42.4
256.053,104.619,42.4
259.423,105.886,42.4
264.066,107.685,42.4
268.97,109.649,42.4
272.302,111.022,42.4
276.568,112.817,42.4
281.76,115.063,42.4
285.997,116.941,42.4
290.222,118.848,42.4
293.494,120.349,42.4
297.692,122.304,42.4
301.876,124.281,42.4
311.168,128.762,42.4
320.953,133.588,42.4
322.759,134.487,42.4
355.414,150.855,42.4
360.688,153.475,42.4
363.555,154.881,42.4
370.757,158.378,42.4
374.837,160.327,42.4
379.872,162.695,42.4
383.006,164.141,42.4
385.914,165.471,42.4
389.14,166.929,42.4
391.783,168.102,42.4
395.275,169.634,42.4
400.17,171.727,42.4
404.251,173.429,42.4
408.334,175.084,42.4
410.386,175.902,42.4
414.485,177.493,42.4
415.801,177.994,42.4
418.589,179.038,42.4
420.66,179.8,42.4
424.774,181.272,42.4
428.193,182.453,42.4
430.956,183.381,42.4
434.41,184.505,42.4
437.176,185.377,42.4
440.66,186.44,42.4
444.82,187.653,42.4
446.903,188.239,42.4
451.092,189.374,42.4
453.185,189.917,42.4
455.284,190.447,42.4
457.384,190.963,42.4
460.232,191.64,42.4
463.699,192.425,42.4
466.574,193.045,42.4
468.686,193.484,42.4
470.815,193.911,42.4
474.276,194.575,42.4
476.399,194.962,42.4
478.525,195.336,42.4
480.652,195.697,42.4
483.649,196.18,42.4
486.536,196.62,42.4
489.19,197.003,42.4
492.265,197.422,42.4
496.591,197.967,42.4
497.774,198.107,42.4
502.077,198.584,42.4
506.4,199.016,42.4
510.719,199.399,42.4
515.444,199.77,42.4
518.39,199.972,42.4
523.728,200.286,42.4
525.261,200.356,42.4
528.082,200.502,42.4
530.048,200.576,42.4
532.441,200.68,42.4
534.608,200.744,42.4
536.801,200.821,42.4
540.533,200.911,42.4
