-30234,70889,15260,12486,-41756,-13652
-30234,70889,15260,12486,-41756,-13652
-30234,70889,15260,12486,-41756,-13652
-30234,70889,15260,12486,-41756,-13652
-30215,70863,15230,12494,-41754,-13661
-30194,70835,15198,12503,-41752,-13671
-30174,70807,15166,12512,-41749,-13680
-30154,70780,15136,12520,-41747,-13690
-30133,70752,15103,12529,-41745,-13700
-30113,70725,15073,12538,-41742,-13709
-30094,70700,15043,12546,-41740,-13718
-30073,70672,15011,12555,-41737,-13728
-30052,70645,14979,12564,-41735,-13738
-30035,70623,14953,12571,-41733,-13746
-30017,70599,14925,12579,-41730,-13754
-29999,70575,14897,12587,-41728,-13763
-29984,70555,14874,12593,-41726,-13770
-29966,70532,14846,12601,-41724,-13778
-29948,70509,14819,12609,-41721,-13787
-29931,70486,14792,12616,-41719,-13795
-29914,70464,14766,12624,-41717,-13803
-29897,70442,14740,12631,-41714,-13811
-29879,70418,14711,12639,-41712,-13820
-29863,70398,14688,12646,-41710,-13827
-29845,70375,14660,12653,-41707,-13836
-29828,70354,14634,12661,-41704,-13844
-29810,70330,14606,12669,-41702,-13853
-29796,70312,14584,12675,-41700,-13859
-29780,70292,14559,12682,-41697,-13867
-29766,70274,14537,12688,-41695,-13874
-29750,70254,14513,12695,-41693,-13881
-29736,70236,14491,12701,-41691,-13888
-29722,70218,14469,12707,-41689,-13895
-29706,70198,14445,12714,-41686,-13902
-29691,70179,14422,12721,-41684,-13910
-29678,70162,14401,12727,-41682,-13916
-29664,70145,14381,12732,-41680,-13922
-29651,70129,14360,12738,-41678,-13929
-29638,70112,14339,12744,-41675,-13935
-29626,70097,14321,12749,-41674,-13941
-29612,70081,14301,12755,-41671,-13947
-29599,70064,14281,12761,-41669,-13953
-29586,70048,14260,12767,-41667,-13960
-29573,70032,14240,12772,-41665,-13966
-29561,70016,14221,12778,-41663,-13972
-29547,70000,14200,12784,-41661,-13978
-29534,69983,14180,12790,-41659,-13985
-29521,69968,14161,12795,-41657,-13991
-29509,69952,14142,12801,-41655,-13997
-29496,69936,14122,12806,-41653,-14003
-29484,69921,14103,12812,-41650,-14009
-29471,69905,14083,12818,-41648,-14015
-29457,69889,14062,12823,-41646,-14022
-29446,69875,14045,12828,-41644,-14027
-29434,69861,14027,12833,-41642,-14033
-29423,69847,14010,12839,-41640,-14038
-29411,69833,13992,12844,-41638,-14044
-29400,69819,13974,12849,-41637,-14049
-29390,69806,13959,12853,-41635,-14054
-29379,69793,13942,12858,-41633,-14059
-29367,69779,13925,12863,-41631,-14065
-29356,69765,13907,12868,-41629,-14070
-29344,69751,13889,12873,-41627,-14076
-29333,69738,13872,12878,-41625,-14081
-29322,69724,13855,12883,-41623,-14087
-29310,69710,13837,12888,-41621,-14092
-29300,69697,13821,12893,-41620,-14097
-29288,69683,13803,12898,-41618,-14103
-29278,69670,13787,12903,-41616,-14108
-29267,69658,13771,12907,-41614,-14113
-29256,69644,13754,12912,-41612,-14118
-29245,69631,13737,12917,-41610,-14124
-29233,69617,13720,12922,-41608,-14129
-29224,69605,13705,12927,-41607,-14134
-29214,69593,13690,12931,-41605,-14139
-29204,69582,13675,12935,-41603,-14143
-29193,69569,13659,12940,-41601,-14149
-29183,69557,13644,12944,-41600,-14153
-29175,69546,13630,12948,-41598,-14158
-29165,69535,13616,12952,-41597,-14162
-29155,69523,13601,12957,-41595,-14167
-29145,69512,13586,12961,-41593,-14171
-29136,69500,13572,12965,-41592,-14176
-29126,69488,13557,12970,-41590,-14181
-29118,69478,13544,12973,-41589,-14185
-29109,69468,13531,12977,-41587,-14189
-29100,69457,13517,12981,-41586,-14193
-29091,69446,13503,12985,-41584,-14198
-29082,69436,13490,12989,-41583,-14202
-29073,69425,13476,12993,-41581,-14206
-29065,69416,13464,12997,-41580,-14210
-29056,69405,13451,13001,-41578,-14214
-29048,69395,13438,13004,-41577,-14219
-29039,69385,13425,13008,-41575,-14223
-29030,69374,13412,13012,-41574,-14227
-29022,69364,13399,13016,-41573,-14231
-29013,69354,13387,13019,-41571,-14235
-29004,69343,13373,13023,-41570,-14239
-28996,69334,13361,13027,-41568,-14243
-28987,69323,13347,13031,-41567,-14248
-28979,69313,13335,13035,-41565,-14252
-28970,69303,13322,13038,-41564,-14256
-28963,69294,13310,13042,-41563,-14259
-28954,69284,13298,13046,-41561,-14264
-28946,69274,13286,13049,-41560,-14267
-28938,69264,13273,13053,-41559,-14271
-28930,69255,13261,13056,-41558,-14275
-28921,69244,13248,13060,-41556,-14279
-28914,69235,13237,13063,-41555,-14283
-28906,69227,13226,13067,-41554,-14287
-28899,69218,13215,13070,-41553,-14290
-28891,69209,13203,13073,-41551,-14294
-28883,69200,13192,13077,-41550,-14297
-28876,69191,13181,13080,-41549,-14301
-28869,69182,13170,13083,-41548,-14305
-28861,69173,13159,13086,-41547,-14308
-28854,69165,13148,13090,-41546,-14312
-28847,69156,13138,13093,-41545,-14315
-28840,69147,13127,13096,-41544,-14318
-28832,69139,13116,13099,-41543,-14322
-28824,69129,13104,13103,-41541,-14326
-28818,69122,13095,13105,-41540,-14329
-28811,69114,13085,13108,-41539,-14332
-28804,69105,13075,13111,-41538,-14335
-28797,69097,13064,13114,-41537,-14339
-28790,69089,13054,13117,-41536,-14342
-28783,69081,13044,13121,-41535,-14345
-28777,69073,13034,13123,-41534,-14348
-28771,69066,13026,13126,-41533,-14351
-28765,69058,13016,13129,-41533,-14354
-28758,69050,13006,13132,-41532,-14358
-28751,69042,12997,13134,-41531,-14361
-28745,69035,12987,13137,-41530,-14364
-28738,69027,12977,13140,-41529,-14367
-28732,69019,12968,13143,-41528,-14370
-28726,69012,12959,13145,-41527,-14373
-28720,69005,12950,13148,-41526,-14376
-28714,68998,12942,13151,-41526,-14379
-28708,68990,12933,13153,-41525,-14382
-28701,68983,12923,13156,-41524,-14385
-28696,68976,12915,13159,-41523,-14387
-28689,68968,12906,13161,-41522,-14390
-28684,68962,12898,13164,-41522,-14393
-28678,68955,12890,13166,-41521,-14396
-28672,68948,12881,13169,-41520,-14398
-28667,68941,12873,13171,-41519,-14401
-28661,68934,12864,13174,-41519,-14404
-28655,68927,12856,13176,-41518,-14406
-28649,68920,12848,13179,-41517,-14409
-28643,68913,12839,13181,-41517,-14412
-28637,68906,12831,13184,-41516,-14415
-28632,68899,12822,13186,-41515,-14418
-28626,68892,12814,13189,-41514,-14420
-28620,68885,12806,13191,-41514,-14423
-28615,68878,12797,13194,-41513,-14426
-28609,68871,12789,13196,-41512,-14428
-28603,68864,12781,13198,-41512,-14431
-28598,68858,12773,13201,-41511,-14434
-28592,68851,12765,13203,-41511,-14436
-28587,68844,12757,13205,-41510,-14439
-28581,68838,12750,13208,-41509,-14442
-28576,68831,12742,13210,-41509,-14444
-28570,68825,12734,13212,-41508,-14447
-28565,68818,12726,13215,-41508,-14449
-28559,68811,12718,13217,-41507,-14452
-28554,68805,12711,13219,-41507,-14454
-28549,68799,12704,13221,-41506,-14457
-28544,68792,12696,13224,-41506,-14459
-28539,68786,12689,13226,-41505,-14462
-28534,68780,12681,13228,-41505,-14464
-28528,68773,12674,13230,-41504,-14466
-28523,68767,12667,13232,-41504,-14469
-28518,68761,12659,13235,-41503,-14471
-28514,68755,12653,13237,-41503,-14473
-28509,68749,12646,13239,-41502,-14476
-28504,68743,12639,13241,-41502,-14478
-28499,68737,12632,13243,-41502,-14480
-28494,68731,12626,13245,-41501,-14483
-28489,68725,12619,13247,-41501,-14485
-28484,68719,12612,13249,-41500,-14487
-28479,68713,12605,13251,-41500,-14489
-28475,68707,12599,13253,-41500,-14491
-28470,68701,12592,13255,-41499,-14494
-28466,68696,12586,13257,-41499,-14496
-28461,68690,12580,13258,-41499,-14498
-28456,68684,12573,13260,-41498,-14500
-28452,68679,12566,13262,-41498,-14502
-28447,68673,12560,13264,-41498,-14504
-28443,68667,12554,13266,-41497,-14507
-28439,68662,12548,13268,-41497,-14508
-28434,68657,12542,13270,-41497,-14511
-28430,68651,12536,13271,-41497,-14512
-28426,68646,12530,13273,-41496,-14514
-28421,68640,12524,13275,-41496,-14516
-28417,68635,12519,13277,-41496,-14518
-28413,68630,12513,13278,-41496,-14520
-28409,68624,12506,13280,-41496,-14522
-28404,68618,12500,13282,-41495,-14524
-28400,68614,12495,13284,-41495,-14526
-28396,68608,12489,13285,-41495,-14528
-28392,68603,12484,13287,-41495,-14530
-28388,68598,12478,13289,-41495,-14532
-28384,68593,12473,13290,-41494,-14534
-28380,68588,12467,13292,-41494,-14536
-28376,68583,12461,13294,-41494,-14538
-28372,68577,12456,13295,-41494,-14540
-28368,68572,12450,13297,-41494,-14541
-28364,68568,12445,13298,-41494,-14543
-28360,68562,12440,13300,-41494,-14545
-28357,68558,12435,13301,-41494,-14546
-28353,68553,12430,13303,-41494,-14548
-28349,68548,12425,13304,-41494,-14550
-28345,68543,12420,13306,-41494,-14552
-28341,68538,12415,13307,-41493,-14553
-28337,68533,12410,13309,-41493,-14555
-28334,68528,12404,13311,-41493,-14557
-28330,68523,12400,13312,-41493,-14559
-28327,68519,12395,13313,-41493,-14560
-28323,68514,12390,13315,-41493,-14562
-28319,68509,12385,13316,-41493,-14563
-28315,68504,12380,13318,-41493,-14565
-28312,68500,12375,13319,-41493,-14567
-28308,68495,12371,13321,-41493,-14568
-28305,68490,12366,13322,-41493,-14570
-28301,68486,12361,13324,-41493,-14572
-28298,68481,12356,13325,-41493,-14573
-28295,68477,12352,13326,-41493,-14575
-28291,68472,12348,13328,-41493,-14576
-28288,68468,12344,13329,-41494,-14578
-28285,68464,12339,13330,-41494,-14579
-28281,68459,12335,13331,-41494,-14581
-28278,68455,12331,13333,-41494,-14582
-28274,68450,12326,13334,-41494,-14584
-28271,68446,12322,13335,-41494,-14585
-28268,68441,12317,13337,-41494,-14587
-28265,68437,12313,13338,-41494,-14588
-28261,68432,12309,13339,-41494,-14590
-28258,68428,12304,13340,-41495,-14591
-28254,68423,12300,13342,-41495,-14593
-28251,68419,12295,13343,-41495,-14594
-28248,68414,12291,13344,-41495,-14596
-28244,68409,12287,13346,-41495,-14597
-28241,68405,12282,13347,-41495,-14599
-28237,68400,12278,13348,-41495,-14600
-28235,68397,12274,13349,-41495,-14602
-28232,68392,12270,13351,-41496,-14603
-28229,68388,12266,13352,-41496,-14604
-28225,68383,12262,13353,-41496,-14606
-28222,68379,12258,13354,-41497,-14607
-28219,68375,12255,13355,-41497,-14608
-28216,68370,12251,13356,-41497,-14610
-28213,68366,12247,13358,-41497,-14611
-28210,68362,12243,13359,-41498,-14613
-28207,68357,12239,13360,-41498,-14614
-28204,68353,12235,13361,-41498,-14615
-28201,68349,12232,13362,-41499,-14617
-28198,68345,12228,13363,-41499,-14618
-28195,68341,12224,13364,-41499,-14619
-28192,68337,12220,13365,-41499,-14620
-28189,68333,12217,13367,-41500,-14622
-28186,68328,12213,13368,-41500,-14623
-28183,68324,12209,13369,-41500,-14624
-28180,68320,12206,13370,-41500,-14626
-28177,68316,12202,13371,-41501,-14627
-28175,68312,12199,13372,-41501,-14628
-28172,68308,12195,13373,-41502,-14629
-28169,68305,12192,13374,-41502,-14630
-28167,68301,12189,13375,-41502,-14632
-28164,68297,12186,13376,-41503,-14633
-28161,68293,12182,13377,-41503,-14634
-28159,68289,12179,13378,-41504,-14635
-28156,68285,12176,13379,-41504,-14636
-28153,68281,12173,13380,-41505,-14637
-28150,68277,12169,13380,-41505,-14639
-28148,68273,12166,13381,-41505,-14640
