breakpoints,primitives,p_bp,q_bp
0,movej,"[array([ 1648.52299161, -1210.00414197,  -189.00072034])]","[array([-0.61967757,  0.9811004 ,  0.73392236,  0.07627424, -0.94579996,
       -0.19853509])]"
359,movec_fit,"[array([ 1647.47589903, -1269.99501701,  -189.00070609]), array([ 1647.99941896, -1209.99957243,  -189.00072053])]","[array([-0.64550929,  1.063081  ,  0.86424503,  0.06242395, -0.99228255,
       -0.16398466]), array([-0.6198374 ,  0.9801758 ,  0.73246604,  0.07623109, -0.94525799,
       -0.19839449])]"
