breakpoints,primitives,p_bp,q_bp
0,movej,"[array([ 1649.99941818, -1199.99957576,  -182.00071997])]","[array([-0.61487683,  0.97030327,  0.72331177,  0.07843617, -0.94634567,
       -0.20423903])]"
199,movel_fit,"[array([ 1649.99951004, -1299.99960446,  -182.00069359])]","[array([-0.65711414,  1.12146814,  0.96479081,  0.05580675, -1.03369318,
       -0.14760984])]"
