# cmd_v,cmd_fd,stickout
1.850000000000000355e+01,1.900000000000000000e+02,7.219128668072946065e-01
1.850000000000000355e+01,1.900000000000000000e+02,5.150486401244726009e-01
1.850000000000000355e+01,1.900000000000000000e+02,3.277878391505495981e-01
1.850000000000000355e+01,1.900000000000000000e+02,1.654595743385821882e-01
1.850000000000000355e+01,1.900000000000000000e+02,-2.205173606901646502e-02
1.858333333333333215e+01,1.900000000000000000e+02,-1.476079635774611987e-01
1.869999999999999574e+01,1.900000000000000000e+02,-1.450079212857664501e-01
1.869999999999999929e+01,1.900000000000000000e+02,-2.706041747428750699e-01
1.869999999999999574e+01,1.900000000000000000e+02,-3.194562349043426064e-01
1.869999999999999929e+01,1.900000000000000000e+02,-3.088689255442658710e-01
1.869999999999999574e+01,1.900000000000000000e+02,-1.692549646733691460e-01
1.869999999999999929e+01,1.900000000000000000e+02,-2.031562523898733374e-02
1.869999999999999929e+01,1.900000000000000000e+02,2.850475035048012987e-02
1.869999999999999574e+01,1.900000000000000000e+02,2.373323087160614589e-02
1.869999999999999929e+01,1.900000000000000000e+02,-8.440611663755566429e-02
1.877692307692307949e+01,1.900000000000000000e+02,-1.922303361734396532e-01
1.890000000000000213e+01,1.900000000000000000e+02,-1.524206929679426670e-01
1.890000000000000213e+01,1.900000000000000000e+02,-1.364039017653597696e-01
1.890000000000000213e+01,1.900000000000000000e+02,-7.440366531338578338e-02
1.890000000000000213e+01,1.900000000000000000e+02,-1.077233134489788552e-01
1.890000000000000213e+01,1.900000000000000000e+02,-1.333545751501220011e-01
1.890000000000000213e+01,1.900000000000000000e+02,-1.088383372671333227e-01
1.890000000000000213e+01,1.900000000000000000e+02,-1.096503943635048356e-01
1.890000000000000213e+01,1.900000000000000000e+02,-1.062907997100962926e-01
1.890000000000000213e+01,1.900000000000000000e+02,-3.612237208116608755e-02
1.896153846153845990e+01,1.900000000000000000e+02,-1.356241357708315998e-01
1.909999999999999787e+01,1.900000000000000000e+02,-1.584614166509989985e-01
1.909999999999999787e+01,1.900000000000000000e+02,-1.973161666946180171e-01
1.909999999999999787e+01,1.900000000000000000e+02,-1.325451256331836025e-01
1.909999999999999787e+01,1.900000000000000000e+02,-6.238808533406658974e-02
1.909999999999999787e+01,1.900000000000000000e+02,-5.250457047159107909e-02
1.909999999999999787e+01,1.900000000000000000e+02,-1.523060094721175872e-01
1.909999999999999787e+01,1.900000000000000000e+02,-1.579450588692922763e-01
1.909999999999999787e+01,1.900000000000000000e+02,6.157734251015186538e-02
1.909999999999999787e+01,1.900000000000000000e+02,3.782203305114725800e-01
1.914615384615384741e+01,1.900000000000000000e+02,2.580878297809228727e-01
1.930000000000000426e+01,1.900000000000000000e+02,5.450893167550349000e-02
1.930000000000000426e+01,1.900000000000000000e+02,-1.297840838354741289e-01
1.930000000000000426e+01,1.900000000000000000e+02,-2.848467373567122873e-01
1.930000000000000426e+01,1.900000000000000000e+02,-3.450185657756402735e-01
1.150000000000000000e+01,1.200000000000000000e+02,1.056537431967949692e+00
1.150000000000000000e+01,1.200000000000000000e+02,9.896337471887387549e-01
1.150000000000000000e+01,1.200000000000000000e+02,9.417901312898092625e-01
1.152083333333333393e+01,1.200000000000000000e+02,9.435871916922753400e-01
1.162500000000000000e+01,1.200000000000000000e+02,9.126616045511569686e-01
1.162500000000000000e+01,1.200000000000000000e+02,8.695885883055235466e-01
1.162500000000000000e+01,1.200000000000000000e+02,7.803760964729956617e-01
1.162500000000000000e+01,1.200000000000000000e+02,5.903670251507174838e-01
1.162500000000000000e+01,1.200000000000000000e+02,3.837038517481565769e-01
1.162500000000000000e+01,1.200000000000000000e+02,2.575034443591210920e-01
1.162500000000000000e+01,1.200000000000000000e+02,2.279974989341451985e-01
1.162500000000000000e+01,1.200000000000000000e+02,1.787119996447898984e-01
1.162500000000000000e+01,1.200000000000000000e+02,1.627479539909548190e-01
1.163541666666666607e+01,1.200000000000000000e+02,1.360067893335870082e-01
1.175000000000000000e+01,1.200000000000000000e+02,5.942484271273403701e-02
1.175000000000000000e+01,1.200000000000000000e+02,-7.517333756929303612e-02
1.175000000000000000e+01,1.200000000000000000e+02,-1.540111892394859794e-01
1.175000000000000000e+01,1.200000000000000000e+02,-2.311339685893111229e-01
1.175000000000000000e+01,1.200000000000000000e+02,-3.015276689601454341e-01
1.175000000000000000e+01,1.200000000000000000e+02,-3.599942070657187188e-01
1.175000000000000000e+01,1.200000000000000000e+02,-4.158957783915451234e-01
1.175000000000000000e+01,1.200000000000000000e+02,-4.484556702357075930e-01
1.175000000000000000e+01,1.200000000000000000e+02,-4.531995219647424467e-01
1.176041666666666607e+01,1.200000000000000000e+02,-4.642565445381177658e-01
1.187500000000000000e+01,1.200000000000000000e+02,-3.952246281018047536e-01
1.187500000000000000e+01,1.200000000000000000e+02,-4.163237078360244037e-01
1.187500000000000000e+01,1.200000000000000000e+02,-3.623066378172922763e-01
1.187500000000000000e+01,1.200000000000000000e+02,-2.430278607331946006e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.996911364608892625e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.739108644316088859e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.672558657905394430e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.901029199874022524e-01
1.187500000000000000e+01,1.200000000000000000e+02,-2.832074259933087812e-01
1.188461538461538503e+01,1.200000000000000000e+02,-3.838589730760345597e-01
1.200000000000000000e+01,1.200000000000000000e+02,-4.771612162069252538e-01
1.200000000000000000e+01,1.200000000000000000e+02,-5.462073960205875434e-01
1.200000000000000000e+01,1.200000000000000000e+02,-5.792939785912446515e-01
1.200000000000000000e+01,1.200000000000000000e+02,-6.141686563373365271e-01
1.200000000000000000e+01,1.200000000000000000e+02,-5.489510224509487335e-01
1.200000000000000000e+01,1.200000000000000000e+02,-4.126744653140927421e-01
1.175000000000000000e+01,1.200000000000000000e+02,-4.158957783915451234e-01
1.175000000000000000e+01,1.200000000000000000e+02,-4.484556702357075930e-01
1.175000000000000000e+01,1.200000000000000000e+02,-4.531995219647424467e-01
1.176041666666666607e+01,1.200000000000000000e+02,-4.642565445381177658e-01
1.187500000000000000e+01,1.200000000000000000e+02,-3.952246281018047536e-01
1.187500000000000000e+01,1.200000000000000000e+02,-4.163237078360244037e-01
1.187500000000000000e+01,1.200000000000000000e+02,-3.623066378172922763e-01
1.187500000000000000e+01,1.200000000000000000e+02,-2.430278607331946006e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.996911364608892625e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.739108644316088859e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.672558657905394430e-01
1.187500000000000000e+01,1.200000000000000000e+02,-1.901029199874022524e-01
1.187500000000000000e+01,1.200000000000000000e+02,-2.832074259933087812e-01
1.188461538461538503e+01,1.200000000000000000e+02,-3.838589730760345597e-01
1.200000000000000000e+01,1.200000000000000000e+02,-4.771612162069252538e-01
1.200000000000000000e+01,1.200000000000000000e+02,-5.462073960205875434e-01
1.200000000000000000e+01,1.200000000000000000e+02,-5.792939785912446515e-01
1.200000000000000000e+01,1.200000000000000000e+02,-6.141686563373365271e-01
1.200000000000000000e+01,1.200000000000000000e+02,-5.489510224509487335e-01
1.200000000000000000e+01,1.200000000000000000e+02,-4.126744653140927421e-01
1.200000000000000000e+01,1.200000000000000000e+02,-3.549111546513505355e-01
1.200000000000000000e+01,1.200000000000000000e+02,-3.202364160662855563e-01
1.200000000000000000e+01,1.200000000000000000e+02,-2.813533307816760143e-01
1.200000000000000000e+01,1.200000000000000000e+02,-2.397652969693577774e-01
1.212500000000000000e+01,1.200000000000000000e+02,-2.507380305955763666e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.860235131931835539e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.573317451144043699e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.654457682455040546e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.579335857843805757e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.078227770100532723e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.364004346411295809e-01
1.212500000000000000e+01,1.200000000000000000e+02,-9.957916275808909035e-02
1.212500000000000000e+01,1.200000000000000000e+02,-1.371117899506857085e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.832807027684489609e-01
1.225000000000000000e+01,1.200000000000000000e+02,-2.429292983228460157e-01
1.225000000000000000e+01,1.200000000000000000e+02,-3.041669987976277079e-01
1.225000000000000000e+01,1.200000000000000000e+02,-2.972901932010725834e-01
1.225000000000000000e+01,1.200000000000000000e+02,-3.020941392886004051e-01
1.225000000000000000e+01,1.200000000000000000e+02,-3.692595453272898287e-01
1.225000000000000000e+01,1.200000000000000000e+02,-4.186727574978972855e-01
1.200000000000000000e+01,1.200000000000000000e+02,-3.549111546513505355e-01
1.200000000000000000e+01,1.200000000000000000e+02,-3.202364160662855563e-01
1.200000000000000000e+01,1.200000000000000000e+02,-2.813533307816760143e-01
1.200000000000000000e+01,1.200000000000000000e+02,-2.397652969693577774e-01
1.212500000000000000e+01,1.200000000000000000e+02,-2.507380305955763666e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.860235131931835539e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.573317451144043699e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.654457682455040546e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.579335857843805757e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.078227770100532723e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.364004346411295809e-01
1.212500000000000000e+01,1.200000000000000000e+02,-9.957916275808909035e-02
1.212500000000000000e+01,1.200000000000000000e+02,-1.371117899506857085e-01
1.212500000000000000e+01,1.200000000000000000e+02,-1.832807027684489609e-01
1.225000000000000000e+01,1.200000000000000000e+02,-2.429292983228460157e-01
1.225000000000000000e+01,1.200000000000000000e+02,-3.041669987976277079e-01
1.225000000000000000e+01,1.200000000000000000e+02,-2.972901932010725834e-01
1.225000000000000000e+01,1.200000000000000000e+02,-3.020941392886004051e-01
1.225000000000000000e+01,1.200000000000000000e+02,-3.692595453272898287e-01
1.225000000000000000e+01,1.200000000000000000e+02,-4.186727574978972855e-01
1.225000000000000000e+01,1.200000000000000000e+02,-4.739076870674458486e-01
1.225000000000000000e+01,1.200000000000000000e+02,-5.047693387074954074e-01
1.225000000000000000e+01,1.200000000000000000e+02,-5.451938063577598248e-01
1.225000000000000000e+01,1.200000000000000000e+02,-5.228088944028633778e-01
1.237500000000000000e+01,1.200000000000000000e+02,-4.233334437484310153e-01
1.237500000000000000e+01,1.200000000000000000e+02,-2.782539769912812933e-01
1.237500000000000000e+01,1.200000000000000000e+02,-1.816564783842939124e-01
1.237500000000000000e+01,1.200000000000000000e+02,-1.155950892493600862e-01
1.237500000000000000e+01,1.200000000000000000e+02,5.446235966533963940e-02
