timestamp,current
0.000000000000000000e+00,4.106419793220993597e+01
7.125377655029296875e-03,8.070684581995010376e+01
6.410121917724609375e-03,9.575474955141544342e+01
4.752874374389648438e-03,4.458453428000211716e+01
3.018379211425781250e-03,2.214462388743413612e+01
1.199722290039062500e-03,5.425165085616754368e+00
3.779649734497070312e-03,4.291532080620527267e+01
5.625963211059570312e-03,5.486448468640446663e+01
2.047300338745117188e-03,5.069149567789281718e+00
1.450657844543457031e-02,5.390886391513049603e+01
1.139855384826660156e-02,6.842200730461627245e+00
1.375770568847656250e-02,4.468681070953607559e+01
8.227348327636718750e-03,3.224656624341150746e+01
1.522564888000488281e-02,9.602644614875316620e+01
1.036477088928222656e-02,7.434779254253953695e+00
1.301169395446777344e-02,4.312299676239490509e+01
1.595234870910644531e-02,8.353857509791851044e+01
1.218843460083007812e-02,1.298034616091172211e+01
2.148890495300292969e-02,5.621984378027264029e+01
2.058053016662597656e-02,8.276876933872699738e+01
1.848244667053222656e-02,4.098221904598176479e+01
1.670241355895996094e-02,3.700749411720607895e+01
1.748967170715332031e-02,4.340484222397208214e+01
2.227163314819335938e-02,5.668754701036959887e+00
2.299094200134277344e-02,4.782619531033560634e+00
1.947331428527832031e-02,9.312210790812969208e+01
2.372694015502929688e-02,5.219831636641174555e+00
2.597188949584960938e-02,4.173406744375824928e+01
2.522659301757812500e-02,3.632434896193444729e+01
2.452087402343750000e-02,5.361925527104176581e+00
3.116846084594726562e-02,4.274433965794742107e+01
3.198313713073730469e-02,9.090481750667095184e+01
3.381299972534179688e-02,6.444723923690617085e+01
3.568029403686523438e-02,4.245156377553939819e+01
3.662419319152832031e-02,4.514588376507163048e+01
3.762197494506835938e-02,9.814458236098289490e+01
3.286361694335937500e-02,8.242056131362915039e+01
3.473210334777832031e-02,1.759683737938757986e+01
3.880548477172851562e-02,8.022278949618339539e+01
3.998064994812011719e-02,3.670612972346134484e+01
4.644083976745605469e-02,4.454471677541732788e+01
4.131746292114257812e-02,6.233226737676886842e+00
4.421496391296386719e-02,5.343187898397445679e+00
4.576253890991210938e-02,4.339937731623649597e+01
4.502701759338378906e-02,2.200018775882199407e+01
4.714632034301757812e-02,5.472785560414195061e+01
4.239034652709960938e-02,6.151249548420310020e+00
4.332971572875976562e-02,5.521976435557007790e+00
5.201625823974609375e-02,4.839613200892927125e+00
5.427789688110351562e-02,9.932427402585744858e+01
5.502700805664062500e-02,8.170072257518768311e+01
4.997420310974121094e-02,3.372918428969569504e+01
5.285239219665527344e-02,3.482533586909994483e+01
5.355882644653320312e-02,4.166458206251263618e+01
4.805493354797363281e-02,9.803840219974517822e+01
4.904031753540039062e-02,8.542717523872852325e+01
5.574154853820800781e-02,4.738581665616948158e+01
5.821537971496582031e-02,4.416454363527009264e+00
5.649518966674804688e-02,5.632840822727303021e+00
6.014871597290039062e-02,2.727718150301370770e+01
6.195163726806640625e-02,4.465167734771966934e+01
5.920600891113281250e-02,4.564013459821580909e+00
6.342959403991699219e-02,7.331483641639351845e+01
5.725646018981933594e-02,4.882553686620667577e+00
6.110072135925292969e-02,4.257960435003042221e+01
6.269359588623046875e-02,4.976471684873104095e+01
6.413483619689941406e-02,9.373576678335666656e+01
6.705522537231445312e-02,4.698300013624248095e+00
6.491708755493164062e-02,8.375327728688716888e+01
6.637144088745117188e-02,5.450929440557956696e+00
6.566858291625976562e-02,1.533114185083832126e+01
7.326459884643554688e-02,6.590023122844286263e+00
7.680439949035644531e-02,5.001533315051347017e+01
7.499122619628906250e-02,4.280523721128702164e+01
7.886362075805664062e-02,8.638826124370098114e+01
7.401156425476074219e-02,4.032952390611171722e+01
7.777404785156250000e-02,9.352965136989951134e+01
7.590508460998535156e-02,4.544022068381309509e+01
7.230067253112792969e-02,4.507019709562882781e+00
8.010005950927734375e-02,5.995410366100259125e+01
8.401298522949218750e-02,6.561916512146126479e+00
8.568477630615234375e-02,3.679279032396152616e+01
8.638858795166015625e-02,4.397477947175502777e+01
8.222484588623046875e-02,6.570504594128578901e+00
8.708572387695312500e-02,4.569083710201084614e+01
8.313012123107910156e-02,6.562697222689166665e+00
8.798027038574218750e-02,9.063936702907085419e+01
8.120727539062500000e-02,6.572846805574954487e+00
8.493471145629882812e-02,6.371416980400681496e+00
9.076619148254394531e-02,6.408892258259584196e+00
9.358906745910644531e-02,1.282029539303039201e+01
9.500384330749511719e-02,6.768260757438838482e+01
9.428596496582031250e-02,4.260536875575780869e+01
8.988714218139648438e-02,6.724851951934397221e+01
8.900833129882812500e-02,8.360181480646133423e+01
9.279274940490722656e-02,5.141758005702286027e+00
9.573411941528320312e-02,9.318378604948520660e+01
9.653854370117187500e-02,8.375249654054641724e+01
1.036529541015625000e-01,9.830931760370731354e+01
9.739708900451660156e-02,1.765305045933928341e+01
1.028780937194824219e-01,5.514867243357002735e+01
9.940767288208007812e-02,5.929520526051419438e+00
1.013293266296386719e-01,4.149282008409500122e+01
1.021440029144287109e-01,4.332286484539508820e+01
9.839224815368652344e-02,5.409550355980172753e+00
1.003763675689697266e-01,8.699571460019797087e+00
1.043975353240966797e-01,8.803171023726463318e+01
1.085641384124755859e-01,4.366638902574777603e+01
1.075427532196044922e-01,3.968229368329048157e+01
1.052274703979492188e-01,3.365032961789438559e+01
1.060190200805664062e-01,5.483720275806263089e+00
1.067771911621093750e-01,5.838174339733086526e+00
1.127874851226806641e-01,4.713051430881023407e+01
1.136488914489746094e-01,1.003571879118680954e+02
1.151812076568603516e-01,4.442370462929829955e+01
1.177828311920166016e-01,4.039666725322604179e+01
1.143622398376464844e-01,8.516094416379928589e+01
1.188409328460693359e-01,4.200732547789812088e+01
1.168575286865234375e-01,1.974776496892445721e+01
1.198339462280273438e-01,6.833374136127531528e+01
1.160025596618652344e-01,7.409014910808764398e+00
1.243894100189208984e-01,6.219173474237322807e+00
1.227467060089111328e-01,1.757263479937137163e+01
1.208879947662353516e-01,8.868362486362457275e+01
1.235427856445312500e-01,6.672000313410535455e+00
1.218638420104980469e-01,8.174834765493869781e+01
1.252312660217285156e-01,1.846501570660620928e+01
1.260402202606201172e-01,4.303555425256490707e+01
1.267490386962890625e-01,6.372974146157503128e+01
1.416804790496826172e-01,4.477351759196608327e+00
1.334095001220703125e-01,5.747609077952802181e+00
1.374695301055908203e-01,1.001018870621919632e+02
1.357138156890869141e-01,4.399898227304220200e+01
1.275150775909423828e-01,9.511688858270645142e+01
1.426115036010742188e-01,3.306555714720161632e+01
1.303327083587646484e-01,6.160618336871266365e+00
1.406621932983398438e-01,5.603172908886335790e+00
1.284990310668945312e-01,8.508911661803722382e+01
1.385478973388671875e-01,8.980085775256156921e+01
1.395998001098632812e-01,3.886018060977221467e+01
1.294126510620117188e-01,2.216882706707110628e+01
1.365671157836914062e-01,5.284393998794257641e+01
1.434915065765380859e-01,4.284505464136600494e+01
1.342251300811767578e-01,1.071387001662515104e+01
1.349396705627441406e-01,4.295982280746102333e+01
1.476058959960937500e-01,1.351046592331840657e+01
1.467754840850830078e-01,8.204346582293510437e+01
1.459863185882568359e-01,8.973059140145778656e+01
1.505260467529296875e-01,3.961046606302261353e+01
1.443197727203369141e-01,4.620690349489450455e+01
1.496160030364990234e-01,5.679685005452483892e+00
1.451807022094726562e-01,7.422127130441367626e+01
1.487367153167724609e-01,4.886457342217909172e+00
1.576299667358398438e-01,8.957994803786277771e+00
1.566681861877441406e-01,2.230779806384816766e+01
1.551492214202880859e-01,9.485378026962280273e+01
1.586558818817138672e-01,7.788452513050287962e+00
1.558201313018798828e-01,8.694258354604244232e+01
1.536478996276855469e-01,4.267875798046588898e+01
1.544394493103027344e-01,6.544736027601175010e+01
1.597719192504882812e-01,1.694570363964885473e+01
1.618971824645996094e-01,4.327836308628320694e+01
1.662001609802246094e-01,5.881895573984365910e+00
1.645281314849853516e-01,8.861882351338863373e+01
1.608505249023437500e-01,4.121800094842910767e+01
1.670129299163818359e-01,5.767127405852079391e+00
1.636471748352050781e-01,9.886676289141178131e+01
1.653752326965332031e-01,5.812093560525681823e+01
1.628401279449462891e-01,4.470867138355970383e+01
1.679551601409912109e-01,3.034156965557485819e+01
1.752591133117675781e-01,6.971802810812732787e+00
1.689612865447998047e-01,4.263503670692443848e+01
1.707761287689208984e-01,9.658311031758785248e+01
1.698994636535644531e-01,5.649388059973716736e+01
1.715815067291259766e-01,8.711824923753738403e+01
1.745195388793945312e-01,3.117461559952971584e+01
1.759648323059082031e-01,6.694641616195440292e+00
1.785969734191894531e-01,4.739127978682518005e+01
1.815967559814453125e-01,8.477526072412729263e+01
1.775524616241455078e-01,4.455486614257097244e+01
1.806507110595703125e-01,9.239992745220661163e+01
