breakpoints,primitives,p_bp,q_bp
6479,movec_fit,"[array([ 1648.52297326, -1210.00413122,  -212.00072671]), array([ 1647.47588173, -1269.99500574,  -211.5021051 ])]","[array([-0.61967757,  0.98473338,  0.71868885,  0.07733957, -0.92698914,
       -0.20033244]), array([-0.64550929,  1.06458642,  0.84620294,  0.06324273, -0.97277365,
       -0.16546008])]"
6839,movec_fit,"[array([ 1648.52297406, -1210.00413168,  -211.00072643]), array([ 1647.4758825 , -1269.99500624,  -210.50210482])]","[array([-0.61967757,  0.98455779,  0.71932383,  0.07729262, -0.92779728,
       -0.20025418]), array([-0.64550929,  1.06449663,  0.84696826,  0.06320596, -0.97362704,
       -0.16539473])]"
7199,movec_fit,"[array([ 1648.52297486, -1210.00413215,  -210.00072615]), array([ 1647.47588326, -1269.99500674,  -209.50210454])]","[array([-0.61967757,  0.98438378,  0.71996125,  0.07724573, -0.92860629,
       -0.20017594]), array([-0.64550929,  1.06440891,  0.84773687,  0.06316922, -0.97448167,
       -0.16532936])]"
7559,movec_fit,"[array([ 1648.52297566, -1210.00413262,  -209.00072588]), array([ 1647.47588403, -1269.99500724,  -208.50210427])]","[array([-0.61967757,  0.98421134,  0.72060112,  0.0771989 , -0.92941617,
       -0.20009771]), array([-0.64550929,  1.06432327,  0.84850881,  0.06313252, -0.97533753,
       -0.16526397])]"
7919,movec_fit,"[array([ 1648.52297646, -1210.00413308,  -208.0007256 ]), array([ 1647.4758848 , -1269.99500773,  -207.50210399])]","[array([-0.61967757,  0.98404049,  0.72124344,  0.07715213, -0.93022692,
       -0.20001949]), array([-0.64550929,  1.06423972,  0.84928407,  0.06309586, -0.97619463,
       -0.16519856])]"
8279,movec_fit,"[array([ 1648.52297726, -1210.00413355,  -207.00072532]), array([ 1647.47588557, -1269.99500823,  -206.50210371])]","[array([-0.61967757,  0.98387123,  0.72188822,  0.07710541, -0.93103854,
       -0.19994128]), array([-0.64550929,  1.06415826,  0.85006267,  0.06305923, -0.97705298,
       -0.16513313])]"
8639,movec_fit,"[array([ 1648.52297806, -1210.00413402,  -206.00072505]), array([ 1647.47588633, -1269.99500873,  -205.50210344])]","[array([-0.61967757,  0.98370355,  0.72253547,  0.07705875, -0.93185104,
       -0.19986308]), array([-0.64550929,  1.06407891,  0.85084462,  0.06302264, -0.97791257,
       -0.16506768])]"
8999,movec_fit,"[array([ 1648.52297886, -1210.00413449,  -205.00072477]), array([ 1647.4758871 , -1269.99500923,  -204.50210316])]","[array([-0.61967757,  0.98353747,  0.72318519,  0.07701215, -0.93266442,
       -0.19978489]), array([-0.64550929,  1.06400167,  0.85162995,  0.06298608, -0.97877342,
       -0.16500222])]"
9359,movec_fit,"[array([ 1648.52297966, -1210.00413495,  -204.00072449]), array([ 1647.47588787, -1269.99500973,  -203.50210288])]","[array([-0.61967757,  0.98337299,  0.72383739,  0.0769656 , -0.93347868,
       -0.19970671]), array([-0.64550929,  1.06392655,  0.85241865,  0.06294956, -0.97963553,
       -0.16493673])]"
9719,movec_fit,"[array([ 1648.52298045, -1210.00413542,  -203.00072421]), array([ 1647.47588864, -1269.99501023,  -202.5021026 ])]","[array([-0.61967757,  0.98321011,  0.72449207,  0.07691911, -0.93429382,
       -0.19962854]), array([-0.64550929,  1.06385356,  0.85321075,  0.06291308, -0.98049891,
       -0.16487122])]"
